gene_id	chr	strand	transcript_id
PDE9A	NC_000021.9	+	['NM_002606.3 (MANE)', 'NM_001001567.2', 'NM_001001568.2', 'NM_001001569.2', 'NM_001001570.2', 'NM_001001571.2', 'NM_001001572.2', 'NM_001001573.2', 'NM_001001574.2', 'NM_001001575.2', 'NM_001001576.2', 'NM_001001577.2', 'NM_001001578.2', 'NM_001001579.2', 'NM_001001580.2', 'NM_001001581.2', 'NM_001001582.2', 'NM_001001583.2', 'NM_001001584.3', 'NM_001001585.2', 'NM_001315533.2', 'XM_011529598.3', 'XM_011529600.3', 'XM_017028366.2']
PDF	NC_000016.10	-	['NM_022341.2 (MANE)']
PDGFA	NC_000007.14	-	['NM_033023.5 (MANE)', 'NM_001395363.1', 'NM_001395364.1', 'NM_001395365.1', 'NM_001395366.1', 'NM_002607.6', 'XM_011515415.2', 'XM_011515416.2', 'XM_011515418.2', 'XM_011515419.4', 'XM_017012289.2', 'XM_047420455.1', 'XM_047420456.1', 'XM_047420457.1', 'XM_047420458.1']
PDGFB	NC_000022.11	-	['NM_002608.4 (MANE)', 'NM_033016.3', 'XM_047441393.1', 'XM_047441394.1']
PDGFC	NC_000004.12	-	['NM_016205.3 (MANE)', 'XM_017008455.2', 'XM_047415969.1', 'XM_047415970.1', 'XM_047415971.1', 'XM_047415972.1']
PDGFD	NC_000011.10	-	['NM_025208.5 (MANE)', 'NM_033135.4']
PDGFRA	NC_000004.12	+	['NM_006206.6 (MANE)', 'NM_001347827.2', 'NM_001347828.2', 'NM_001347829.2', 'NM_001347830.2', 'XM_005265743.2', 'XM_006714041.4', 'XM_017008281.2', 'XM_047415766.1', 'XM_047415767.1']
PDGFRB	NC_000005.10	-	['NM_002609.4 (MANE)', 'NM_001355016.2', 'NM_001355017.2']
PDGFRL	NC_000008.11	+	['NM_001372073.1 (MANE)', 'NM_006207.2']
PDHA1	NC_000023.11	+	['NM_000284.4 (MANE)', 'NM_001173454.2', 'NM_001173455.2', 'NM_001173456.2', 'XM_017029574.3']
PDHA2	NC_000004.12	+	['NM_005390.5 (MANE)']
PDHB	NC_000003.12	-	['NM_000925.4 (MANE)', 'NM_001173468.2', 'NM_001315536.2']
PDHX	NC_000011.10	+	['NM_003477.3 (MANE)', 'NM_001135024.2', 'NM_001166158.2', 'XM_011520390.2']
PDIA2	NC_000016.10	+	['NM_006849.4 (MANE)']
PDIA3	NC_000015.10	+	['NM_005313.5 (MANE)']
PDIA4	NC_000007.14	-	['NM_004911.5 (MANE)', 'NM_001371244.1', 'NM_001371245.1']
PDIA5	NC_000003.12	+	['NM_006810.4 (MANE)']
PDIA6	NC_000002.12	-	['NM_005742.4 (MANE)', 'NM_001282704.2', 'NM_001282705.2', 'NM_001282706.2', 'NM_001282707.2', 'XM_011510308.2']
PDIK1L	NC_000001.11	+	['NM_152835.5 (MANE)', 'NM_001243532.2', 'NM_001243533.2']
PDILT	NC_000016.10	-	['NM_174924.2 (MANE)', 'XM_011545764.2', 'XM_011545765.2', 'XM_011545766.4']
PDK1	NC_000002.12	+	['NM_002610.5 (MANE)', 'NM_001278549.2', 'XM_006712594.3', 'XM_011511343.3', 'XM_011511344.3', 'XM_011511345.4', 'XM_011511347.3', 'XM_047444736.1', 'XM_047444737.1', 'XM_047444738.1', 'XM_047444739.1', 'XM_047444740.1']
PDK2	NC_000017.11	+	['NM_002611.5 (MANE)', 'NM_001199898.2', 'NM_001199899.2', 'NM_001199900.2']
PDK3	NC_000023.11	+	['NM_005391.5 (MANE)', 'NM_001142386.3']
PDK4	NC_000007.14	-	['NM_002612.4 (MANE)']
PDLIM1	NC_000010.11	-	['NM_020992.4 (MANE)']
PDLIM2	NC_000008.11	+	['NM_001368120.1 (MANE)', 'NM_021630.6', 'NM_176871.5', 'NM_198042.4']
PDLIM3	NC_000004.12	-	['NM_014476.6 (MANE)', 'NM_001114107.5', 'NM_001257962.2', 'NM_001257963.2', 'XM_047450071.1', 'XM_047450072.1']
PDLIM4	NC_000005.10	+	['NM_003687.4 (MANE)', 'NM_001131027.2', 'XM_017010002.2', 'XM_047417848.1', 'XM_047417850.1', 'XM_047417851.1']
PDLIM5	NC_000004.12	+	['NM_006457.5 (MANE)', 'NM_001011513.4', 'NM_001011515.3', 'NM_001011516.3', 'NM_001256425.2', 'NM_001256426.2', 'NM_001256427.2', 'NM_001256428.2', 'NM_001256429.2']
PDLIM7	NC_000005.10	-	['NM_005451.5 (MANE)', 'NM_203352.3', 'NM_213636.3']
PDP1	NC_000008.11	+	['NM_018444.4 (MANE)', 'NM_001161779.2', 'NM_001161780.2', 'NM_001161781.2', 'XM_017013588.2', 'XM_047421904.1', 'XM_047421905.1', 'XM_047421906.1', 'XM_047421907.1', 'XM_047421908.1', 'XM_047421909.1']
PDP2	NC_000016.10	+	['NM_020786.4 (MANE)', 'NM_001329928.2', 'NM_001329929.2', 'NM_001329930.2', 'NM_001329931.2', 'NM_001329932.2', 'NM_001329933.2', 'NM_001329934.2']
PDPK1	NC_000016.10	+	['NM_002613.5 (MANE)', 'NM_001261816.2', 'NM_031268.6', 'XM_011522521.4', 'XM_011522523.4', 'XM_024450296.2', 'XM_047434198.1', 'XM_047434199.1', 'XM_047434200.1', 'XM_047434201.1', 'XM_047434202.1']
PDPN	NC_000001.11	+	['NM_006474.5 (MANE)', 'NM_001006624.2', 'NM_001006625.2', 'NM_001385053.1', 'NM_198389.2', 'XM_006710295.2', 'XM_024451404.2', 'XM_047434471.1']
PDPR	NC_000016.10	+	['NM_017990.5 (MANE)', 'NM_001322117.1', 'NM_001322118.1', 'NM_001322119.1', 'XM_005256015.3', 'XM_005256016.4', 'XM_006721224.3', 'XM_006721225.4', 'XM_011523190.4', 'XM_017023388.3', 'XM_047434302.1', 'XM_047434303.1', 'XM_047434304.1', 'XM_047434305.1', 'XM_047434306.1', 'XM_047434307.1', 'XM_047434308.1', 'XM_047434309.1', 'XM_047434310.1']
PDRG1	NC_000020.11	-	['NM_030815.3 (MANE)']
PDS5A	NC_000004.12	-	['NM_001100399.2 (MANE)', 'NM_001100400.2', 'XM_011513672.3', 'XM_047449931.1', 'XM_047449932.1']
PDS5B	NC_000013.11	+	['NM_015032.4 (MANE)', 'XM_005266298.5', 'XM_011534999.3', 'XM_011535000.3', 'XM_011535002.4', 'XM_017020448.2', 'XM_017020452.3', 'XM_017020453.2', 'XM_047430186.1']
PDSS1	NC_000010.11	+	['NM_014317.5 (MANE)', 'NM_001321978.2', 'NM_001321979.2', 'XM_011519437.4', 'XM_017016011.3', 'XM_024447922.2', 'XM_047424933.1']
PDSS2	NC_000006.12	-	['NM_020381.4 (MANE)', 'XM_011535956.4', 'XM_011535957.4', 'XM_011535958.4', 'XM_011535959.4', 'XM_011535960.4', 'XM_011535961.4', 'XM_011535963.4', 'XM_017011082.3', 'XM_047419096.1', 'XM_047419097.1', 'XM_047419098.1', 'XM_047419099.1', 'XM_047419100.1', 'XM_047419101.1']
PDX1	NC_000013.11	+	['NM_000209.4 (MANE)']
PDXDC1	NC_000016.10	+	['NM_015027.4 (MANE)', 'NM_001285444.2', 'NM_001285445.2', 'NM_001285447.1', 'NM_001285448.1', 'NM_001285449.2', 'NM_001285450.2', 'NM_001324019.2', 'NM_001324020.2', 'NM_001324021.2', 'XM_006720865.3', 'XM_017023059.2', 'XM_017023060.2', 'XM_017023061.3', 'XM_017023063.2', 'XM_017023065.2', 'XM_024450194.2', 'XM_024450195.2', 'XM_024450197.2', 'XM_047433788.1', 'XM_047433789.1', 'XM_047433790.1', 'XM_047433791.1']
PDXK	NC_000021.9	+	['NM_003681.5 (MANE)', 'NM_001331030.2', 'XM_005261195.3', 'XM_005261196.4', 'XM_005261199.3', 'XM_011529761.2', 'XM_011529762.3', 'XM_047441001.1', 'XM_047441002.1', 'XM_047441003.1', 'XM_047441004.1', 'XM_047441005.1', 'XM_047441006.1']
PDXP	NC_000022.11	+	['NM_020315.5 (MANE)']
PDYN	NC_000020.11	-	['NM_024411.5 (MANE)', 'NM_001190892.1', 'NM_001190898.3', 'NM_001190899.2', 'NM_001190900.1', 'XM_011529244.2', 'XM_011529245.1', 'XM_011529246.3', 'XM_011529247.1', 'XM_011529248.2', 'XM_011529249.3', 'XM_011529250.3', 'XM_017027878.1']
PDZD11	NC_000023.11	-	['NM_016484.5 (MANE)', 'NM_001370174.1', 'NM_001370175.1', 'NM_001370176.1', 'NM_001370177.1', 'NM_001370178.1', 'XM_017029568.3']
PDZD2	NC_000005.10	+	['NM_178140.4 (MANE)', 'XM_005248269.5', 'XM_006714460.3', 'XM_011513992.3', 'XM_011513993.3', 'XM_011513994.3', 'XM_011513996.3', 'XM_047416965.1']
PDZD4	NC_000023.11	-	['NM_001303512.2 (MANE)', 'NM_001303513.3', 'NM_001303514.2', 'NM_001303515.2', 'NM_001303516.2', 'NM_032512.5']
PDZD7	NC_000010.11	-	['NM_001195263.2 (MANE)', 'NM_001351044.2', 'NM_024895.5', 'XM_005270165.4', 'XM_011540177.4', 'XM_011540178.4', 'XM_011540179.4', 'XM_011540181.4', 'XM_011540183.4', 'XM_017016667.3', 'XM_017016668.3', 'XM_047425767.1', 'XM_047425768.1', 'XM_047425769.1', 'XM_047425771.1']
PDZD8	NC_000010.11	-	['NM_173791.5 (MANE)', 'XM_005269518.5', 'XM_011539265.3', 'XM_011539266.4', 'XM_047424575.1', 'XM_047424576.1']
PDZD9	NC_000016.10	-	['NM_001363519.1 (MANE)', 'NM_001370530.1', 'NM_173806.4', 'XM_017023109.2', 'XM_047433888.1']
PDZK1	NC_000001.11	-	['NM_001201325.2 (MANE)', 'NM_001201326.1', 'NM_001371359.1', 'NM_001371361.1', 'NM_002614.4', 'XM_024447619.2', 'XM_024447620.2', 'XM_047422527.1', 'XM_047422528.1', 'XM_047422529.1', 'XM_047422530.1']
PDZK1IP1	NC_000001.11	-	['NM_005764.4 (MANE)']
PDZRN3	NC_000003.12	-	['NM_015009.3 (MANE)', 'NM_001303139.2', 'NM_001303140.2', 'NM_001303141.2', 'NM_001303142.2', 'XM_017005942.3']
PDZRN4	NC_000012.12	+	['NM_001164595.2 (MANE)', 'NM_013377.4']
PEA15	NC_000001.11	+	['NM_003768.5 (MANE)', 'NM_001297576.2', 'NM_001297577.2', 'NM_001297578.2', 'XM_047433391.1']
PEAK1	NC_000015.10	-	['NM_001385026.1 (MANE)', 'NM_001385027.1', 'NM_001387085.1', 'NM_001387086.1', 'NM_024776.5', 'XM_005254675.5', 'XM_011522034.3', 'XM_011522035.3', 'XM_011522036.3', 'XM_011522037.3', 'XM_011522038.3', 'XM_011522039.3', 'XM_011522042.3', 'XM_047433054.1', 'XM_047433055.1', 'XM_047433056.1', 'XM_047433057.1', 'XM_047433058.1', 'XM_047433060.1', 'XM_047433061.1', 'XM_047433062.1', 'XM_047433063.1', 'XM_047433064.1', 'XM_047433065.1', 'XM_047433067.1', 'XM_047433068.1', 'XM_047433069.1', 'XM_047433070.1', 'XM_047433071.1', 'XM_047433072.1', 'XM_047433073.1', 'XM_047433074.1', 'XM_047433075.1', 'XM_047433076.1', 'XM_047433077.1', 'XM_047433078.1']
PEAK3	NC_000019.10	-	['NM_198532.3 (MANE)']
PEAR1	NC_000001.11	+	['NM_001080471.3 (MANE)', 'NM_001353682.2', 'NM_001353683.2', 'XM_005245141.4', 'XM_011509510.3', 'XM_011509511.3', 'XM_017001234.3', 'XM_017001235.3', 'XM_017001236.2', 'XM_017001239.2', 'XM_017001240.1', 'XM_017001241.1', 'XM_017001242.2', 'XM_047419722.1', 'XM_047419737.1']
PEBP1	NC_000012.12	+	['NM_002567.4 (MANE)']
PEBP4	NC_000008.11	-	['NM_144962.3 (MANE)', 'NM_001363233.2', 'XM_017013103.2']
PECAM1	NC_000017.11	-	['NM_000442.5 (MANE)', 'XM_005276880.2', 'XM_005276881.2', 'XM_005276882.2', 'XM_005276883.3', 'XM_017024739.2', 'XM_017024741.2', 'XM_047436251.1']
PECR	NC_000002.12	-	['NM_018441.6 (MANE)', 'XM_047445106.1', 'XM_047445107.1', 'XM_047445108.1']
PEDS1	NC_000020.11	-	['NM_199129.4 (MANE)', 'NM_001162505.2']
PEDS1-UBE2V1	NC_000020.11	-	['NM_199203.3']
PEF1	NC_000001.11	-	['NM_012392.4 (MANE)', 'NM_001359651.2', 'XM_011541745.2', 'XM_011541746.3', 'XM_011541747.2', 'XM_017001680.2', 'XM_017001681.2']
PEG10	NC_000007.14	+	['NM_001040152.2', 'NM_001172437.2', 'NM_001172438.3', 'NM_001184961.1', 'NM_001184962.2', 'NM_015068.3']
PEG3	NC_000019.10	-	['NM_006210.3 (MANE)', 'NM_001146184.2', 'NM_001146185.2', 'NM_001146187.2', 'NM_001369717.1', 'NM_001369718.1', 'NM_001369719.1', 'NM_001369720.1', 'NM_001369721.1', 'NM_001369722.1', 'NM_001369723.1', 'NM_001369724.1', 'NM_001369725.1', 'NM_001369726.1', 'NM_001369727.1', 'NM_001369728.1', 'NM_001369729.1', 'NM_001369730.1', 'NM_001369731.1', 'NM_001369732.1', 'NM_001369733.1', 'NM_001369734.1', 'NM_001369735.1', 'NM_001369736.1', 'NM_001369737.1', 'NM_001369738.1', 'NM_001369739.1']
PELI1	NC_000002.12	-	['NM_020651.4 (MANE)', 'XM_011532994.4', 'XM_011532997.3', 'XM_017004520.2', 'XM_047445137.1', 'XM_047445139.1', 'XM_047445140.1']
PELI2	NC_000014.9	+	['NM_021255.3 (MANE)', 'XM_005267890.6', 'XM_006720211.4', 'XM_011536990.3', 'XM_011536992.4', 'XM_017021478.2', 'XM_017021479.2', 'XM_047431612.1']
PELI3	NC_000011.10	+	['NM_145065.3 (MANE)', 'NM_001098510.2', 'NM_001243135.2', 'NM_001243136.2', 'XM_011544884.3', 'XM_047426703.1']
PELO	NC_000005.10	+	['NM_015946.5 (MANE)']
PELP1	NC_000017.11	-	['NM_014389.3 (MANE)', 'NM_001278241.2']
PEMT	NC_000017.11	-	['NM_148172.3 (MANE)', 'NM_001267551.2', 'NM_001267552.2', 'NM_007169.3', 'NM_148173.2', 'XM_006721418.5', 'XM_017024016.2', 'XM_024450532.2']
PENK	NC_000008.11	-	['NM_001135690.3 (MANE)']
PEPD	NC_000019.10	-	['NM_000285.4 (MANE)', 'NM_001166056.2', 'NM_001166057.2']
PER1	NC_000017.11	-	['NM_002616.3 (MANE)']
PER2	NC_000002.12	-	['NM_022817.3 (MANE)', 'XM_005246111.5', 'XM_006712824.5', 'XM_047446231.1', 'XM_047446232.1']
PER3	NC_000001.11	+	['NM_001377275.1 (MANE)', 'NM_001289861.2', 'NM_001289862.2', 'NM_001289863.3', 'NM_001289864.3', 'NM_001377276.1', 'NM_016831.4', 'XM_005263524.5', 'XM_017002723.3', 'XM_017002724.3', 'XM_017002726.3', 'XM_017002729.2', 'XM_024450586.2', 'XM_024450587.2', 'XM_024450590.2', 'XM_047433434.1', 'XM_047433435.1', 'XM_047433436.1', 'XM_047433437.1', 'XM_047433438.1', 'XM_047433439.1', 'XM_047433440.1', 'XM_047433441.1', 'XM_047433442.1', 'XM_047433443.1', 'XM_047433444.1', 'XM_047433445.1', 'XM_047433446.1', 'XM_047433447.1', 'XM_047433448.1', 'XM_047433449.1', 'XM_047433451.1', 'XM_047433452.1', 'XM_047433453.1', 'XM_047433454.1', 'XM_047433455.1', 'XM_047433456.1', 'XM_047433457.1', 'XM_047433458.1', 'XM_047433459.1', 'XM_047433466.1', 'XM_047433468.1', 'XM_047433472.1', 'XM_047433473.1', 'XM_047433474.1', 'XM_047433475.1', 'XM_047433476.1']
PERCC1	NC_000016.10	+	['NM_001365310.2 (MANE)']
PERM1	NC_000001.11	-	['NM_001394713.1 (MANE)', 'NM_001291366.2', 'NM_001291367.2', 'NM_001369897.1', 'NM_001369898.1']
PERP	NC_000006.12	-	['NM_022121.5 (MANE)']
PES1	NC_000022.11	-	['NM_014303.4 (MANE)', 'NM_001243225.2', 'NM_001282327.1', 'NM_001282328.1']
PET100	NC_000019.10	+	['NM_001171155.2 (MANE)']
PET117	NC_000020.11	+	['NM_001164811.2 (MANE)']
PEX1	NC_000007.14	-	['NM_000466.3 (MANE)', 'NM_001282677.2', 'NM_001282678.2', 'XM_047420472.1', 'XM_047420473.1']
PEX10	NC_000001.11	-	['NM_002617.4 (MANE)', 'NM_001374425.1', 'NM_001374426.1', 'NM_001374427.1', 'NM_153818.2', 'XM_011541576.3', 'XM_047422539.1']
PEX11A	NC_000015.10	-	['NM_003847.3 (MANE)', 'NM_001271572.2', 'NM_001271573.2']
PEX11B	NC_000001.11	-	['NM_003846.3 (MANE)', 'NM_001184795.1']
PEX11G	NC_000019.10	-	['NM_080662.4 (MANE)', 'NM_001270539.2', 'NM_001300881.2', 'XM_005272506.3', 'XM_011528426.3', 'XM_011528427.3', 'XM_011528428.1', 'XM_011528429.3', 'XM_011528431.3', 'XM_011528432.2']
PEX12	NC_000017.11	-	['NM_000286.3 (MANE)']
PEX13	NC_000002.12	+	['NM_002618.4 (MANE)']
PEX14	NC_000001.11	+	['NM_004565.3 (MANE)', 'XM_011541577.3', 'XM_011541578.3', 'XM_011541579.4', 'XM_011541580.2', 'XM_047422542.1', 'XM_047422543.1', 'XM_047422544.1', 'XM_047422545.1', 'XM_047422546.1']
PEX16	NC_000011.10	-	['NM_004813.4 (MANE)', 'NM_057174.3', 'XM_047427886.1', 'XM_047427887.1', 'XM_047427888.1']
PEX19	NC_000001.11	-	['NM_002857.4 (MANE)', 'NM_001193644.1']
PEX2	NC_000008.11	-	['NM_000318.3 (MANE)', 'NM_001079867.2', 'NM_001172086.2', 'NM_001172087.2']
PEX26	NC_000022.11	+	['NM_001127649.3 (MANE)', 'NM_001199319.2', 'NM_017929.6']
PEX3	NC_000006.12	+	['NM_003630.3 (MANE)']
PEX5	NC_000012.12	+	['NM_001351132.2 (MANE)', 'NM_000319.5', 'NM_001131023.2', 'NM_001131024.2', 'NM_001131025.2', 'NM_001131026.2', 'NM_001300789.3', 'NM_001351124.3', 'NM_001351126.2', 'NM_001351127.2', 'NM_001351128.2', 'NM_001351130.3', 'NM_001351131.2', 'NM_001351133.2', 'NM_001351134.2', 'NM_001351135.3', 'NM_001351136.2', 'NM_001351137.3', 'NM_001351138.2', 'NM_001351139.2', 'NM_001351140.2', 'NM_001374645.1', 'NM_001374646.1', 'NM_001374647.2', 'NM_001374648.2', 'NM_001374649.2', 'XM_011520793.3', 'XM_011520795.2', 'XM_017019748.2', 'XM_047429257.1', 'XM_047429258.1', 'XM_047429259.1', 'XM_047429260.1', 'XM_047429262.1', 'XM_047429263.1', 'XM_047429264.1', 'XM_047429265.1', 'XM_047429266.1', 'XM_047429267.1', 'XM_047429268.1', 'XM_047429269.1', 'XM_047429270.1']
PEX5L	NC_000003.12	-	['NM_016559.3 (MANE)', 'NM_001256750.2', 'NM_001256751.2', 'NM_001256752.2', 'NM_001256753.2', 'NM_001256754.2', 'NM_001256755.2', 'NM_001256756.2', 'NM_001349386.2', 'NM_001349387.2', 'NM_001349388.2', 'NM_001349389.2', 'NM_001349390.2', 'NM_001349391.2', 'NM_001349392.2', 'NM_001349393.2', 'NM_001349394.2', 'NM_001349395.2', 'NM_001349396.2', 'NM_001349397.2', 'NM_001349398.2', 'NM_001349399.2', 'NM_001349401.2', 'NM_001349404.2', 'NM_001349406.2', 'NM_001349408.2', 'NM_001349409.2', 'NM_001349410.2', 'XM_011512888.3', 'XM_011512891.3', 'XM_024453590.2', 'XM_024453591.2', 'XM_024453592.2', 'XM_024453593.2', 'XM_047448297.1', 'XM_047448298.1', 'XM_047448299.1']
PEX6	NC_000006.12	-	['NM_000287.4 (MANE)', 'NM_001316313.2', 'XM_011514661.3', 'XM_047418872.1', 'XM_047418873.1']
PEX7	NC_000006.12	+	['NM_000288.4 (MANE)', 'NM_001410945.1', 'XM_006715502.3', 'XM_047418874.1']
PF4	NC_000004.12	-	['NM_002619.4 (MANE)', 'NM_001363352.1']
PF4V1	NC_000004.12	+	['NM_002620.4 (MANE)']
PFAS	NC_000017.11	+	['NM_012393.3 (MANE)', 'XM_006721546.4', 'XM_024450804.2', 'XM_047436295.1', 'XM_047436296.1', 'XM_047436297.1', 'XM_047436298.1']
PFDN1	NC_000005.10	-	['NM_002622.5 (MANE)', 'XM_005268465.5']
PFDN2	NC_000001.11	-	['NM_012394.4 (MANE)', 'XM_011509624.4']
PFDN4	NC_000020.11	+	['NM_002623.4 (MANE)', 'XM_017027879.2', 'XM_047440198.1', 'XM_047440199.1']
PFDN5	NC_000012.12	+	['NM_002624.4 (MANE)', 'NM_145897.3']
PFDN6	NC_000006.12	+	['NM_001185181.3 (MANE)', 'NM_001265595.2', 'NM_001265596.1', 'NM_014260.4', 'XM_047418077.1']
PFKFB1	NC_000023.11	-	['NM_002625.4 (MANE)', 'NM_001271804.2', 'NM_001271805.2', 'XM_017029576.2', 'XM_017029577.2', 'XM_017029578.2', 'XM_024452389.2', 'XM_047442157.1', 'XM_047442158.1']
PFKFB2	NC_000001.11	+	['NM_006212.2 (MANE)', 'NM_001018053.2', 'XM_005273162.4', 'XM_024447654.2', 'XM_024447655.2', 'XM_024447656.2', 'XM_024447657.2', 'XM_047422547.1', 'XM_047422548.1', 'XM_047422549.1']
PFKFB3	NC_000010.11	+	['NM_004566.4 (MANE)', 'NM_001145443.3', 'NM_001282630.3', 'NM_001314063.2', 'NM_001323016.2', 'NM_001323017.2', 'NM_001363545.2', 'XM_005252464.2', 'XM_011519493.2', 'XM_017016329.2', 'XM_047425341.1', 'XM_047425342.1', 'XM_047425343.1', 'XM_047425344.1', 'XM_047425345.1', 'XM_047425346.1', 'XM_047425347.1', 'XM_047425349.1']
PFKFB4	NC_000003.12	-	['NM_004567.4 (MANE)', 'NM_001317134.2', 'NM_001317135.2', 'NM_001317136.2', 'NM_001317137.2', 'NM_001317138.2', 'XM_011533829.3', 'XM_017006614.2', 'XM_017006615.2', 'XM_017006616.2', 'XM_017006617.2', 'XM_024453595.2', 'XM_047448300.1', 'XM_047448301.1', 'XM_047448302.1', 'XM_047448303.1', 'XM_047448304.1']
PFKL	NC_000021.9	+	['NM_002626.6 (MANE)', 'NM_001002021.3', 'XM_005261135.4', 'XM_005261137.5', 'XM_006724011.2', 'XM_011529603.3', 'XM_017028369.2', 'XM_024452085.2', 'XM_047440822.1', 'XM_047440823.1', 'XM_047440824.1', 'XM_047440825.1']
PFKM	NC_000012.12	+	['NM_000289.6 (MANE)', 'NM_001166686.2', 'NM_001166687.2', 'NM_001166688.2', 'NM_001354735.1', 'NM_001354736.1', 'NM_001354737.1', 'NM_001354738.1', 'NM_001354739.1', 'NM_001354740.1', 'NM_001354741.2', 'NM_001354742.2', 'NM_001354743.2', 'NM_001354744.2', 'NM_001354745.2', 'NM_001354746.2', 'NM_001354747.2', 'NM_001354748.2', 'NM_001363619.2', 'XM_005268974.2', 'XM_005268976.4', 'XM_011538487.2', 'XM_017019469.2', 'XM_024449020.2', 'XM_024449021.2', 'XM_024449022.2', 'XM_047428999.1', 'XM_047429000.1', 'XM_047429001.1', 'XM_047429002.1', 'XM_047429003.1', 'XM_047429004.1']
PFKP	NC_000010.11	+	['NM_002627.5 (MANE)', 'NM_001242339.2', 'NM_001323067.2', 'NM_001323068.2', 'NM_001323069.2', 'NM_001323070.1', 'NM_001323071.2', 'NM_001323072.2', 'NM_001323073.1', 'NM_001323074.1', 'NM_001345944.1', 'NM_001410880.1', 'XM_005252466.5', 'XM_006717449.2', 'XM_047425350.1']
PFN1	NC_000017.11	-	['NM_005022.4 (MANE)', 'NM_001375991.1']
PFN2	NC_000003.12	-	['NM_053024.4 (MANE)', 'NM_002628.5']
PFN3	NC_000005.10	-	['NM_001029886.3 (MANE)']
PFN4	NC_000002.12	-	['NM_199346.3 (MANE)', 'XM_005264292.3', 'XM_006712007.5', 'XM_011532823.3', 'XM_047444226.1']
PGA3	NC_000011.10	+	['NM_001079807.4 (MANE)']
PGA4	NC_000011.10	+	['NM_001079808.6 (MANE)']
PGA5	NC_000011.10	+	['NM_014224.5 (MANE)']
PGAM1	NC_000010.11	+	['NM_002629.4 (MANE)', 'NM_001317079.2']
PGAM2	NC_000007.14	-	['NM_000290.4 (MANE)']
PGAM4	NC_000023.11	-	['NM_001029891.3 (MANE)']
PGAM5	NC_000012.12	+	['NM_001170543.2 (MANE)', 'NM_001170544.2', 'NM_138575.4']
PGAP1	NC_000002.12	-	['NM_024989.4 (MANE)', 'NM_001321099.2', 'NM_001321100.2', 'XM_017004992.1', 'XM_017004993.2', 'XM_047445910.1']
PGAP2	NC_000011.10	+	['NM_014489.4 (MANE)', 'NM_001145438.2', 'NM_001256235.1', 'NM_001256236.1', 'NM_001256237.1', 'NM_001256238.1', 'NM_001256239.2', 'NM_001256240.2', 'NM_001283038.1', 'NM_001283039.1', 'NM_001283040.1', 'NM_001346397.2', 'NM_001346398.2', 'NM_001346399.2', 'NM_001346400.2', 'NM_001346401.2', 'NM_001346402.2', 'NM_001346403.1', 'NM_001346404.1', 'NM_001346405.1', 'XM_006718181.4', 'XM_006718185.3', 'XM_011519990.3', 'XM_011519991.3', 'XM_011519992.2', 'XM_011519996.2', 'XM_011519998.3', 'XM_011519999.2', 'XM_011520002.2', 'XM_011520004.3', 'XM_024448443.2', 'XM_024448444.2', 'XM_047426776.1', 'XM_047426777.1', 'XM_047426778.1', 'XM_047426779.1', 'XM_047426780.1', 'XM_047426781.1', 'XM_047426782.1', 'XM_047426783.1', 'XM_047426784.1', 'XM_047426785.1', 'XM_047426786.1', 'XM_047426787.1', 'XM_047426788.1', 'XM_047426789.1', 'XM_047426790.1', 'XM_047426791.1', 'XM_047426792.1', 'XM_047426793.1']
PGAP3	NC_000017.11	-	['NM_033419.5 (MANE)', 'NM_001291726.2', 'NM_001291728.2', 'NM_001291730.2', 'NM_001291732.2', 'NM_001291733.2', 'XM_011525480.2', 'XM_047437082.1', 'XM_047437083.1']
PGAP4	NC_000009.12	-	['NM_032342.3 (MANE)', 'NM_001303107.2', 'NM_001303108.2', 'NM_001371233.1', 'XM_024447701.2']
PGAP6	NC_000016.10	-	['NM_021259.3 (MANE)', 'XM_047434413.1']
PGBD1	NC_000006.12	+	['NM_032507.4 (MANE)', 'NM_001184743.2', 'NM_001386059.1']
PGBD2	NC_000001.11	+	['NM_170725.3 (MANE)', 'NM_001017434.2', 'XM_011544159.3', 'XM_011544161.4', 'XM_047417842.1', 'XM_047417844.1', 'XM_047417845.1', 'XM_047417849.1']
PGBD3	NC_000010.11	-	['NM_170753.3']
PGBD4	NC_000015.10	+	['NM_152595.5 (MANE)']
PGBD5	NC_000001.11	-	['NM_001258311.2 (MANE)']
PGC	NC_000006.12	-	['NM_002630.4 (MANE)', 'NM_001166424.2']
PGD	NC_000001.11	+	['NM_002631.4 (MANE)', 'NM_001304451.2', 'NM_001304452.2']
PGF	NC_000014.9	-	['NM_002632.6 (MANE)', 'NM_001207012.1', 'NM_001293643.1', 'XM_047431476.1']
PGGHG	NC_000011.10	+	['NM_025092.5 (MANE)', 'XM_011520384.3', 'XM_011520385.4', 'XM_011520386.3', 'XM_011520387.3', 'XM_017018355.2', 'XM_047427633.1', 'XM_047427634.1']
PGGT1B	NC_000005.10	-	['NM_005023.4 (MANE)', 'XM_005272020.4', 'XM_011543490.3', 'XM_047417314.1']
PGK1	NC_000023.11	+	['NM_000291.4 (MANE)']
PGK2	NC_000006.12	-	['NM_138733.5 (MANE)']
PGLS	NC_000019.10	+	['NM_012088.3 (MANE)']
PGLYRP1	NC_000019.10	-	['NM_005091.3 (MANE)']
PGLYRP2	NC_000019.10	-	['NM_052890.4 (MANE)', 'NM_001363546.1']
PGLYRP3	NC_000001.11	-	['NM_052891.3 (MANE)', 'XM_011509118.2', 'XM_011509120.3']
